Level 1,Level 2,Level 3,Level 4,Level 5,Detailed description (VN),Note,Design,BA,FE UI,BE,FE API,QA,,
,Plan information,List of plan,,,Hiện danh sách plan sẵn có cho user xem. Plan được group theo Plan Type. User không được đăng ký 2 plan có cùng 1 plan type,,8,,8,16,4,1.5,,
,,Plan information details,,,Hiện thông tin chi tiết của plan đó kèm button để đăng ký.,,,,4,12,4,1,,
,,My plan,,,Hiện danh sách plan mà user đã mua/đăng ký,,5,,,,,,,
,,Request cancel ,,,User có thể yêu cầu huỷ đăng ký plan và hoàn tiền,,9,,,,,,,
Admin page,Management Member ,List the TOS that the user has agreed,,,Hiển thị danh sách các terms nào mà user đã đồng ý,,2,,1,1,0.5,1,,
,,Download excel list user,,,Admin có thể tải xuống tệp Excel danh sách user,,0.5,,,2,,,x,
,,Affiliated company,,,"Admin có thể xem, cập nhật, xoá thông tin công ty của user",,2,,,1,,,,
,,Vehicle information ,,,"Admin có thể xem, cập nhật, xóa thông tin xe của user",,2,,,,,,,
,Insurance contract management,List of Insurance contract,,,"Hiển thị danh sách hợp đồng bảo hiểm của thành viên (do SMT cấp cho user). Cho phép thêm, sửa, xoá hợp đồng bảo hiểm. Cho phép search/filter list theo status(status của đơn đăng ký, status của payment), user, affiliated company, date apply",,,,1,3,0.5,2,,
,,Insurance contract information details,Insurance contract information,,Hiển thị thông tin chi tiết hợp đồng bảo hiểm và certificate của user đó,,,,,,,,,
,,,Upload file PDF certificate,,"Upload pdf certificate cho user đó. Cho phép xem, upload mới pdf file.",,4,,1,2,0.5,1.5,,
,,,Payment log,,"Cho phép Admin xem được lịch sử những lần thanh toán của user liên quan đến contract đó: Thời gian(date-time), TransactionID, Amount, Status, Type, Note",,,,0,1,0,,,
,,Assign multiple users to a certificate,,,Cho phép Admin chọn nhiều user sau đó chọn 1 certificate(cho phép search certificate) trong hệ thống để tiến hành gán nhiều user đó vào trong 1 certificate,,,,,1,,,,
,,Export excel,,,Admin export list ra file excel. Cho phép export tất cả hoặc export theo bộ filter đang được áp dụng,,,,0.5,3,0.5,2,,
,,Send notification for user,,,Sau khi Admin upload thành công certificate thì hệ thống sẽ gửi thông báo qua Kakao/Email cho user biết rằng là hợp đồng đã active,đang confirm là gửi qua Kakao hay Email,,,0,2,0,,,
,Securities Certificate Management,List of Securities Certificate ,,,"Hiển thị danh sách các Chứng thư bảo hiểm (do công ty bảo hiểm cấp cho SMT). Cho phép thêm, sửa, xoá chứng thư bảo hiểm ",,,,1.5,1.5,0.5,2,,
,,Securities Certificate details,,,Hiển thị chi tiết chứng thư bảo hiểm do bên công ty bảo hiểm cấp,,,,0.5,1,0.5,1.5,,
,,,Upload Certificate,,Upload certificate mà công ty bảo hiểm cấp,phần bổ sung,,,0.5,2,0.5,1.5,,
,,Register plan for multiple users in a corporate,Select plan to registration,,Chọn gói bảo hiểm cho doanh nghiệp đó,,4,,2,2,0.5,1,,
,,,Bulk Import file excel,,Upload file excel chứa thông tin user của 1 công ty nào đấy,đang chờ cung cấp template file excel,,,0.5,2,0.5,2,,
,,,Corporate Entity Management,,Tìm kiếm và chọn doanh nghiệp nếu đã có. Nếu chưa có: Đăng ký nhanh doanh nghiệp mới ,,,,0.5,1,0.5,1,,
,,,Check User exist in system?,,"Kiểm tra trong file excel vừa upload xem User đã có tài khoản chưa? Nếu có rồi (YES) thì hệ thống không tạo mới, mà chỉ ""nhặt"" lấy User ID cũ của họ ra để dùng cho bước sau. Nhóm User Mới (No): Hệ thống TỰ ĐỘNG tạo tài khoản mới ngay lập tức dựa trên thông tin trong Excel (SĐT, Tên...).",,,,0,1,0,2,,
,,,System create account for user,,Hệ thống tạo tài khoản cho các user hợp lệ thuộc corporate đó,,,,0,1,0,2,,
,,,Check User have this plan?,,"Kiểm tra trong file excel vừa upload xem User đã mua gói này chưa? Nếu User ID này (dù mới tạo hay cũ) CHƯA có Plan -> Gán Plan mới. Nếu User ID này ĐÃ có Plan rồi -> Bỏ qua, không gán nữa để tránh trùng lặp.",,,,0,1,0,2,,
,,,System assigns plans to users,,Hệ thống sẽ gán plan cho những user hợp lệ nhưng hợp đồng sẽ chưa được ACTIVE ,,,,0,2,0,1.5,,
,,,Bulk import file PDF certificate,,Upload pdf certificate cho doanh nghiệp đó,,,,0,2,0,1.5,,
,,,System mapping certificate and notification for user,,Hệ thống mapping certificate đã upload lên với từng user trong 1 corporate. Lúc này thì hệ thống sẽ ACTIVE cái hợp đồng mà corporate đó mua và đồng bộ với từng user. Đồng thời thông báo đến cho từng user qua Kakao/Email,dang chờ cung cấp template file pdf,,,0,2,0,2,,
,Plan management,List of Plan,,,"Hiển thị danh sách các gói bảo hiểm. Cho phép filter/search theo plan name, plan type, status.
Cho phép thêm, sửa, xoá gói bảo hiểm",,10,,1,2,0.5,3,,
,,Plan information details,,,"Hiển thị thông tin chi tiết của gói bảo hiểm. Hiển thị những thông tin: No, PlanID, Plan name, Plan type, Plan terms, Price, Status, Created at, Updated at.",,,,1,2,0.5,1,,
,,,Price management,,"Trong plan detail, quản trị viên có thể xem và cập nhật phí bảo hiểm, phí thành viên",,0,,,0,,,,x
,,,,Save log CRUD price,Theo dõi thay đổi giá: Ghi nhận mọi thay đổi về phí bảo hiểm và phí thành viên,,0,,,4,,,,x
,,,Insurance company management,,"Trong trang chi tiết gói, admin có thể CRUD nhanh công ty bảo hiểm đó.
Admin có thể chọn công ty bảo hiểm cho gói đó",,6,,,0.5,,,,x
,,Upload thumbnail of Plan,,,Cho phép Admin upload ảnh cho plan đó và nó sẽ được hiển thị lên trên app cho user xem,,,,,,,,,
,,Upload thumbnail of Plan type,,,Cho phép Admin upload ảnh cho plan type đó và nó sẽ được hiển thị lên trên app cho user xem,Backup,,,1,1,0.5,1,,
,Accident report History,Update amount,,,Admin cập nhật số tiền bồi thường,,2,,,1,,,,x
,,Upload excel result,,,Admin tải lên file Excel để cập nhật kết quả xử lý tai nạn hàng loạt.,,4,,,3,,,,x
,,Download excel accident report,,,Admin tải xuống excel danh sách lịch sử tai nạn ,,1,,,2,,,,x
,Community Management,Community List,List of community,,"Hiển thị danh sách community với các thông tin: name community, thành viên, số thread, status. Cho phép thêm, sửa, inactive community",,10,,1,2,0.5,2,,
,,,Community information details,,Hiển thị thông tin chi tiết của community,,,,1,1,0.5,1,,
,,Thread Management,List of thread,,"Hiển thị danh sách thread có trong community với các thông tin: tiêu đề, người viết, số reaction/comment, status. Cho phép thêm, sửa, inactive thread.",,,,1,1,0.5,2,,
,,,Thread information details,,"Hiển thị thông tin chi tiết bài thread với các thông tin: tiêu đề, nội dung, người viết, thời gian viết, số reaction/comment, status",,,,1,2,0.5,1,,
,,,,Comment Management,"Hiển thị các comment có trong 1 thread với các thông tin: người comment, thời gian comment, nội dung comment, số lượt reaction/reply. Cho phép thêm, xoá comment, sửa thì chỉ sửa cho những comment mà mình đã tạo.",,,,2,2,0.5,2,,
,Affiliated company management,List of affiliated company,,,"Hiển thị danh sách công ty liên kết. Cho phép thêm, sửa, xoá công ty liên kết. Cho phép filter/search theo tên công ty liên kết",,4,,1,2,0.5,2,,
,,Affiliated company detailed,,,"Hiển thị chi tiết về thông tin công ty liên kết: AffiliateID, Affiliated company name, Status, Created at, Updated at",,,,1,1,0.5,1,,
,Terms and Conditions management,Terms and Conditions List,,,"Hiển thị danh sách Terms and Conditions (các Terms & Conditions có version mỗi khi update). Cho phép thêm, sửa, xoá. Nội dung của terms khi chỉnh sửa thì dùng trình editor để tạo và có preview lên điện thoại để xem nó trông như thế nào",,8,,16,20,8,2.5,,
,,Terms and Conditions details,,,Hiển thị thông tin chi tiết của Terms and Conditions. ,,,,6,12,4,1,,
,Payment,Payments,Payment list,,Hiển thị danh sách các khoản thanh toán của user khi mua gói bảo hiểm,,2,,1,2,,,,
,,,Payment details,,Hiển thị thông tin chi tiết của khoản thanh toán của user khi mua gói bảo hiểm,,4,,,1,,,,
,,Settlements,Settlement list,,Hiển thị danh sách tiền mà KG chuyển về cho công ty theo kỳ. ,,4,,1,4,,,,
,,,Settlement details,,"Hiển thị thông tin chi tiết của 1 settlement. Trong 1 settlement có thể gộp nhiều payment, và chúng được liên kết với nhau để đối soát",,6,,,4,,,,
,,Reconciliation,,,"Hệ thống cần tự động so sánh tổng số tiền giữa các đơn hàng trên ứng dụng và dữ liệu KG, làm nổi bật các đơn hàng có sự chênh lệch. Admin nên xem xét danh sách các đơn hàng có sự chênh lệch, lọc theo ngày và trạng thái để khắc phục lỗi.",,2,,,8,,,,
,,Refund request,Refund request list,,"Hiển thị danh sách lịch sử các yêu cầu hoàn tiền của user. Cho phép admin tạo mới, update, delete. ",,8,,1,2,,,,
,,,Refund request detail,,"Hiển thị thông tin chi tiết của 1 yêu cầu hoàn tiền. Admin có thể approve hoặc reject yêu cầu đó. Nếu approve, admin sẽ nhập số tiền sẽ hoàn và hệ thống sẽ gọi api KG để hoàn.",,4,,,4,,,,
,,Record information money  that business paid,,,"Admin có thể tạo phiếu ghi nhận đã thanh toán, trong đó họ nhập thủ công số tiền và chi tiết giao dịch chuyển khoản do doanh nghiệp đã thanh toán.",,2,,2,2,,,,
,,Financial report,,,Tạo báo cáo tài chính,,6,,0,4,,,,
,,Export excel,,,Xuất dữ liệu ra file excel,,1,,0,4,,,,
,Admin account management,Edit permissions for the Administrator account.,,,"Chỉnh sửa, quản lý các quyền hạn truy cập và thao tác của Admin trong hệ thống.
Sales/Operations/Management Support | Reading/Writing",,4,,12,24,4,,,
,Monitoring,Action admin history,Action history list,,Hiển thị danh sách action của tất cả admin có trong hệ thống.,,4,,8,8,4,,,
,,,Save action history,,Hệ thống ghi nhận tất cả action của admin để kiểm soát và audit,,6,,0,16,0,,,
,Notification Talk Management,Notification Type list,,,"Hiển thị danh sách các Notification Type. Cho phép thêm, sửa, vô hiệu hoá type đó.
exp: Change status
Subscribe to plan
Find ID/password
Payment completed
Etc.",,8,,1,6,1,2,,
,,Notification Type details,Notification Template,,Hiển thị template của notification. Cho phép sửa template,,,,2,1,0.5,1.5,,
,,,Notification Schedule,,Cho phép admin lên lịch gửi notification. ,,,,0.5,4,0.5,1.5,,
,,,Notification Sending rules,,"Cho phép admin chỉnh sửa rule khi gửi, ví dụ như là: gửi trùng lặp không, gửi lại trong bao lâu, cho phép spam hay không,...",,,,1,2,0.5,2,,
,,Token Management and Configuration,,,Admin phát hành/lưu/sửa token Alligo,,1,,,,,,,
,,Notification Log & History,,,"Cho phép admin xem lịch sử notification đã gửi: đã gửi thông tin gì, cho ai, status. Cho phép search/filter theo user, noti type, date ",,,,1,1,1,2,,
Mobile sensing,Local GPS storage,,,,"Ứng dụng chạy ngầm (Dịch vụ nền) thu thập tọa độ GPS, tốc độ và dấu thời gian theo tần suất xác định và lưu trữ chúng trong bộ nhớ của thiết bị. Điều này đảm bảo dữ liệu không bị mất khi mất kết nối mạng.",,,,0,0,8,,,
,Send GPS data to the server.,,,,"Ứng dụng gửi dữ liệu GPS theo lô đến máy chủ thông qua API. Cần có cơ chế ""Thử lại"" nếu quá trình tải lên thất bại để đảm bảo tính toàn vẹn của dữ liệu.",,,,0,16,8,,,
,Storage GPS data server,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Raw Effort,23.8125,0,22.0625,44,12.4375,11.96875,,
